,season_01,season_02,season_03,season_04,season_05,season_06,season_07
season_01,,0.8943245892398088,0.9187377031647932,0.9124124486426467,0.8991636893143656,0.885984967277623,0.8931041110264843
season_02,0.8943245892398088,,0.8938402187468423,0.8933746197080656,0.883634673867377,0.8729316898165513,0.8774086905319066
season_03,0.9187377031647932,0.8938402187468423,,0.9532788747879195,0.9356738001320477,0.926077679583995,0.9269365902810793
season_04,0.9124124486426467,0.8933746197080656,0.9532788747879195,,0.9460250848096847,0.939035960214895,0.9421445512435135
season_05,0.8991636893143656,0.883634673867377,0.9356738001320477,0.9460250848096847,,0.9359353836804924,0.9447078920659194
season_06,0.885984967277623,0.8729316898165513,0.926077679583995,0.939035960214895,0.9359353836804924,,0.9410223905609403
season_07,0.8931041110264843,0.8774086905319066,0.9269365902810793,0.9421445512435135,0.9447078920659194,0.9410223905609403,
